北海道選挙管理委員会事務局

開票速報

衆議院比例代表選挙

【令和08年02月08日】

衆議院議員総選挙　比例代表　名簿届出政党等別得票数

全道計	確定
区分	確定	1	2	3	4	
日本共産党	国民民主党	中道改革連合	日本維新の会



月形町	*	69	34	24	
確定
浦臼町	*	23	18	16	
確定
新十津川町	*	147	42	39	
確定
妹背牛町	*	48	23	14	
確定
秩父別町	*	38	18	22	
確定
雨竜町	*	47	13	11	
確定
北竜町	*	38	16	12	
確定
沼田町	*	51	25	17	
確定
空知総合振興局 計	*	1,370	670	462	
確定







当別町	*	434	197	104	
確定
新篠津村	*	54	33	18	
確定
石狩振興局 計	*	488	230	122	
確定







島牧村	*	15	6	9	
確定
寿都町	*	42	26	10	
確定
黒松内町	*	50	23	16	
確定
蘭越町	*	94	43	27	
確定
ニセコ町	*	144	44	50	
確定
真狩村	*	49	14	15	
確定
留寿都村	*	28	21	13	
確定
喜茂別町	*	33	16	23	
確定
京極町	*	55	21	15	
確定
倶知安町	*	320	144	111	
確定
共和町	*	94	50	25	
確定
岩内町	*	181	77	58	
確定
泊村	*	22	14	7	
確定
神恵内村	*	6	6	4	
確定
積丹町	*	25	8	10	
確定
古平町	*	37	17	10	
確定
仁木町	*	69	37	22	
確定
余市町	*	273	148	74	
確定
赤井川村	*	29	3	7	
確定
後志総合振興局 計	*	1,566	718	506	
確定







豊浦町	*	79	30	39	
確定
壮瞥町	*	53	30	26	
確定
白老町	*	269	157	90	
確定
厚真町	*	92	41	36	
確定
洞爺湖町	*	189	72	53	
確定
安平町	*	184	86	65	
確定
むかわ町	*	134	83	22	
確定
胆振総合振興局 計	*	1,000	499	331	
確定







日高町	*	229	94	63	
確定
平取町	*	88	52	20	
確定
新冠町	*	112	57	35	
確定
浦河町	*	249	108	62	
確定
様似町	*	66	32	16	
確定
えりも町	*	78	54	26	
確定
新ひだか町	*	450	201	97	
確定
日高振興局 計	*	1,272	598	319	
確定







松前町	*	101	41	23	
確定
福島町	*	40	23	19	
確定
知内町	*	54	22	16	
確定
木古内町	*	43	37	16	
確定
七飯町	*	569	291	171	
確定
鹿部町	*	56	34	22	
確定
森町	*	181	96	87	
確定
八雲町	*	201	119	71	
確定
長万部町	*	59	31	14	
確定
渡島総合振興局 計	*	1,304	694	439	
確定







江差町	*	111	59	22	
確定
上ノ国町	*	45	28	11	
確定
厚沢部町	*	63	26	18	
確定
乙部町	*	42	21	8	
確定
奥尻町	*	33	19	9	
確定
今金町	*	80	37	13	
確定
せたな町	*	128	42	22	
確定
檜山振興局 計	*	502	232	103	
確定







鷹栖町	*	158	73	51	
確定
東神楽町	*	267	105	98	
確定
当麻町	*	122	66	49	
確定
比布町	*	70	33	30	
確定
愛別町	*	43	22	13	
確定
上川町	*	71	41	18	
確定
東川町	*	233	76	71	
確定
美瑛町	*	257	90	72	
確定
上富良野町	*	180	96	50	
確定
中富良野町	*	125	34	36	
確定
南富良野町	*	81	22	13	
確定
占冠村	*	17	17	10	
確定
和寒町	*	62	29	20	
確定
剣淵町	*	59	28	21	
確定
下川町	*	70	27	21	
確定
美深町	*	90	29	29	
確定
音威子府村	*	14	4	2	
確定
中川町	*	32	10	7	
確定
幌加内町	*	20	10	12	
確定
上川総合振興局 計	*	1,971	812	623	
確定







増毛町	*	73	36	17	
確定
小平町	*	54	31	21	
確定
苫前町	*	47	19	14	
確定
羽幌町	*	124	52	36	
確定
初山別村	*	18	8	7	
確定
遠別町	*	33	22	13	
確定
天塩町	*	51	25	17	
確定
留萌振興局 計	*	400	193	125	
確定







猿払村	*	50	39	15	
確定
浜頓別町	*	62	27	16	
確定
中頓別町	*	23	22	7	
確定
枝幸町	*	137	65	44	
確定
豊富町	*	72	40	27	
確定
礼文町	*	47	24	13	
確定
利尻町	*	56	12	14	
確定
利尻富士町	*	52	26	5	
確定
幌延町	*	52	20	13	
確定
宗谷総合振興局 計	*	551	275	154	
確定







美幌町	*	366	214	125	
確定
津別町	*	68	33	28	
確定
斜里町	*	225	96	63	
確定
清里町	*	72	44	28	
確定
小清水町	*	69	41	36	
確定
訓子府町	*	99	55	36	
確定
置戸町	*	58	21	20	
確定
佐呂間町	*	111	42	37	
確定
遠軽町	*	339	152	128	
確定
湧別町	*	177	109	33	
確定
滝上町	*	56	21	13	
確定
興部町	*	63	37	17	
確定
西興部村	*	26	9	13	
確定
雄武町	*	85	51	33	
確定
大空町	*	165	67	49	
確定
オホーツク総合振興局 計	*	1,979	992	659	
確定







音更町	*	945	444	295	
確定
士幌町	*	101	61	32	
確定
上士幌町	*	122	53	36	
確定
鹿追町	*	99	47	36	
確定
新得町	*	162	60	37	
